Variable_group,Variable name,Class_1,Class_2,Class_3,Class_4,Class_5,Unit,Territory,Year,Value
Underground carbon storage,CO2 transport,Energy,Carbon storage,Sergipe-Alagoas,N/A,Pipeline,km,PE,2030,200.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Sergipe-Alagoas,N/A,Pipeline,km,PE,2035,200.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Sergipe-Alagoas,N/A,Pipeline,km,PE,2040,200.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Sergipe-Alagoas,N/A,Pipeline,km,PE,2045,200.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Sergipe-Alagoas,N/A,Pipeline,km,PE,2050,200.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Sergipe-Alagoas,N/A,Pipeline,km,SE,2025,0.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Sergipe-Alagoas,N/A,Pipeline,km,SE,2030,200.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Sergipe-Alagoas,N/A,Pipeline,km,SE,2035,200.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Sergipe-Alagoas,N/A,Pipeline,km,SE,2040,200.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Sergipe-Alagoas,N/A,Pipeline,km,SE,2045,200.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Sergipe-Alagoas,N/A,Pipeline,km,SE,2050,200.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,São Francisco,N/A,Pipeline,km,DF,2025,0.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,São Francisco,N/A,Pipeline,km,DF,2030,300.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,São Francisco,N/A,Pipeline,km,DF,2035,300.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,São Francisco,N/A,Pipeline,km,DF,2040,300.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,São Francisco,N/A,Pipeline,km,DF,2045,300.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,São Francisco,N/A,Pipeline,km,DF,2050,300.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,São Francisco,N/A,Pipeline,km,GO,2025,0.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,São Francisco,N/A,Pipeline,km,GO,2030,300.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,São Francisco,N/A,Pipeline,km,GO,2035,300.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,São Francisco,N/A,Pipeline,km,GO,2040,300.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,São Francisco,N/A,Pipeline,km,GO,2045,300.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,São Francisco,N/A,Pipeline,km,GO,2050,300.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,São Francisco,N/A,Pipeline,km,MG,2025,0.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,São Francisco,N/A,Pipeline,km,MG,2030,300.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,São Francisco,N/A,Pipeline,km,MG,2035,300.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,São Francisco,N/A,Pipeline,km,MG,2040,300.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,São Francisco,N/A,Pipeline,km,MG,2045,300.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,São Francisco,N/A,Pipeline,km,MG,2050,300.0
