Variable_group,Variable name,Class_1,Class_2,Class_3,Class_4,Class_5,Unit,Territory,Year,Value
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,MT,2025,0.06679
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,MT,2030,0.00051
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,MT,2035,0.00063
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,MT,2040,0.05073
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,MT,2045,0.1543
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,MT,2050,0.08897
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,PA,2025,0.07495
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,PA,2030,0.12743
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,PA,2035,0.32573
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,PA,2040,0.00011
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,PA,2045,0.00056
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,PA,2050,0.00193
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,PB,2025,0.06154
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,PB,2030,0.0003
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,PB,2035,0.00076
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,PB,2040,0.14709
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,PB,2045,0.00139
