Variable_group,Variable name,Class_1,Class_2,Class_3,Class_4,Class_5,Unit,Territory,Year,Value
Energy supply and use,Power installed capacity,Solar photovoltaic,Rooftop,Electricity generation (public service),NA,NA,GW,BR,2025,7.09546
Energy supply and use,Power installed capacity,Solar photovoltaic,Rooftop,Electricity generation (public service),NA,NA,GW,BR,2030,7.09548
Energy supply and use,Power installed capacity,Solar photovoltaic,Rooftop,Electricity generation (public service),NA,NA,GW,BR,2035,7.09552
Energy supply and use,Power installed capacity,Solar photovoltaic,Rooftop,Electricity generation (public service),NA,NA,GW,BR,2040,7.09553
Energy supply and use,Power installed capacity,Solar photovoltaic,Rooftop,Electricity generation (public service),NA,NA,GW,BR,2045,7.09554
Energy supply and use,Power installed capacity,Solar photovoltaic,Rooftop,Electricity generation (public service),NA,NA,GW,BR,2050,7.093
Energy supply and use,Power installed capacity,Solar photovoltaic,Utility-scale,Electricity generation (public service),NA,NA,GW,BR,2025,19.75242
Energy supply and use,Power installed capacity,Solar photovoltaic,Utility-scale,Electricity generation (public service),NA,NA,GW,BR,2030,34.70274
Energy supply and use,Power installed capacity,Solar photovoltaic,Utility-scale,Electricity generation (public service),NA,NA,GW,BR,2035,49.08273
Energy supply and use,Power installed capacity,Solar photovoltaic,Utility-scale,Electricity generation (public service),NA,NA,GW,BR,2040,63.14351
Energy supply and use,Power installed capacity,Solar photovoltaic,Utility-scale,Electricity generation (public service),NA,NA,GW,BR,2045,83.59267
Energy supply and use,Power installed capacity,Solar photovoltaic,Utility-scale,Electricity generation (public service),NA,NA,GW,BR,2050,110.58323
Energy supply and use,Power installed capacity,Wind,Offshore,Electricity generation (public service),NA,NA,GW,BR,2025,0.00212
Energy supply and use,Power installed capacity,Wind,Offshore,Electricity generation (public service),NA,NA,GW,BR,2030,0.00212
Energy supply and use,Power installed capacity,Wind,Offshore,Electricity generation (public service),NA,NA,GW,BR,2035,0.00214
Energy supply and use,Power installed capacity,Wind,Offshore,Electricity generation (public service),NA,NA,GW,BR,2040,0.00216
